author_id	author_orchid_id	author_fname	author_lname	author_dblp_url	author_dblp_key	author_gscholar_url	author_affiliation	author_page
129	 	Janja	Kosir	https://dblp.org/pid/185/4566	homepages/185/4566	https://scholar.google.com/scholar?q=Janja+Kosir		 
130	 	Jannis	Hermanns	https://dblp.org/pid/55/10321	homepages/55/10321	https://scholar.google.com/scholar?q=Jannis+Hermanns		 
131	 	Jasminko	Novak	https://dblp.org/pid/39/5526	homepages/39/5526	https://scholar.google.com/scholar?q=Jasminko+Novak		 
132	 	Jason	Harman	https://dblp.org/pid/151/6928	homepages/151/6928	https://scholar.google.com/scholar?q=Jason+L.+Harman		 
133	 	Jason	Weston	https://dblp.org/pid/29/6977	homepages/29/6977	https://scholar.google.com/scholar?q=Jason+Weston		 
134	"ID inferred from metadata,verification pending"	Jason	Wiese	https://dblp.org/pid/03/8928	homepages/03/8928	https://scholar.google.com/scholar?q=Jason+Wiese		 
135	0000-0002-5997-8252	Javier	Parapar	https://dblp.org/pid/40/2161	homepages/40/2161	https://scholar.google.com/scholar?q=Javier+Parapar		 
136	 	Javier	Sanz-Cruzado	https://dblp.org/pid/218/0183	homepages/218/0183	https://scholar.google.com/scholar?q=Javier+Sanz-Cruzado		 
137	 	Jay	Adams	https://dblp.org/pid/185/2847	homepages/185/2847	https://scholar.google.com/scholar?q=Jay+Adams		 
138	 	Jay	Patel	https://dblp.org/pid/65/3147-2	homepages/65/3147-2	https://scholar.google.com/scholar?q=Jay+Patel	"University of California Berkeley, CA, USA"	 
139	0000-0001-6921-1744	Jay	Pujara	https://dblp.org/pers/hb/p/Pujara:Jay.html	homepages/65/10103	https://scholar.google.com/scholar?q=Jay+Pujara	"University of California, Santa Cruz, USA"	https://www.jaypujara.org/
140	 	Jayachithra	Kumar	https://dblp.org/pid/227/1433	homepages/227/1433	https://scholar.google.com/scholar?q=Jayachithra+Kumar		 
141	 	Jean	Garcia-Gathright	https://dblp.org/pid/222/1208	homepages/222/1208	https://scholar.google.com/scholar?q=Jean+Garcia-Gathright		 
142	 	Jean-Benoît	Griesner	https://dblp.org/pid/167/6007	homepages/167/6007	https://scholar.google.com/scholar?q=Jean-Beno%C3%AEt+Griesner		 
143	 	Jean-Pierre	Hubaux	https://dblp.org/pid/h/JPHubaux	homepages/h/JPHubaux	https://scholar.google.com/scholar?q=	"Swiss Federal Institute of Technology in Lausanne, Switzerland"	author's page @ epfl.ch
144	 	Jean-Yves	Moine	https://dblp.org/pid/00/2213	homepages/00/2213	https://scholar.google.com/scholar?q=Jean-Yves+Le+Moine		 
145	 	Jeff	Sandvig	https://dblp.org/pid/03/1429	homepages/03/1429	https://scholar.google.com/scholar?q=Jeff+J.+Sandvig		 
146	"ID inferred from metadata,verification pending"	Jeffrey	Alexander	https://dblp.org/pid/33/6712	homepages/33/6712	https://scholar.google.com/scholar?q=Jeffrey+Alexander		 
